english,tamil,category,tamil_category
adhesion,"மாற்றிணைவு, ஒட்டுதல்",Biology,உயிரியல்
adhesive force,ஒட்டுவிசை,Biology,உயிரியல்
adhesive organ,ஒட்டுறுப்பு,Biology,உயிரியல்
adipose,கொழுப்பு,Biology,உயிரியல்
adipose cell,கொழுப்பு உயிரணு,Biology,உயிரியல்
adipose tissue,கொழுப்புத்திசு,Biology,உயிரியல்
adjuvants,எதிர்ப்பாற்றல் தூண்டி,Biology,உயிரியல்
adnation,"ஒட்டிணைவு, ஒட்டுதல்",Biology,உயிரியல்
adolescence,விடலைப்பருவம்,Biology,உயிரியல்
adoptive immunotherapy,தகவமை(ப்பு) எதிர்ப்பாற்றல் சிகிச்சை,Biology,உயிரியல்
adoxa type,அடாக்சா வகை,Biology,உயிரியல்
adrenal,"அட்ரினல், அண்ணீரக",Biology,உயிரியல்
adrenal cortex,அட்ரினல் புறணி,Biology,உயிரியல்
adrenal gland,அட்ரினல் சுரப்பி,Biology,உயிரியல்
adrenal medulla,அட்ரினல் அகணி,Biology,உயிரியல்
adsorption,பரப்பு ஈர்ப்பு,Biology,உயிரியல்
adult animal,முதிர் விலங்கு,Biology,உயிரியல்
adult bird,முதிர்ப்பறவை,Biology,உயிரியல்
adult worm,"முதிர்ப்புழு, முழுமியப்புழு",Biology,உயிரியல்
advanced (tertiary) treatment,மேம்பட்ட சிகிச்சை,Biology,உயிரியல்
adventitious buds,வேற்றிட மொட்டுகள்,Biology,உயிரியல்
adventitious roots,"சல்லிவேர்கள், வேற்றிடவேர்கள்",Biology,உயிரியல்
adventitive embryo,"மாறுபட்டக்கரு, வேற்றிடக்கரு",Biology,உயிரியல்
adventive embryony,வேற்றிடக் கருவாக்கம்,Biology,உயிரியல்
aeluropodous,நகங்களை இழுத்துக்கொள்ளும்,Biology,உயிரியல்
aeration,காற்றோட்டம்,Biology,உயிரியல்
aerenchyma tissue,"ஏரென்கைமா திசு, காற்றகத் திசு",Biology,உயிரியல்
aereole,நுண்குழிகள்,Biology,உயிரியல்
aerial root,காற்று வேர்,Biology,உயிரியல்
aeriferous,காற்றுடைய,Biology,உயிரியல்
aerobes,காற்று உயிரிகள்,Biology,உயிரியல்
aerobic phase,காற்று சுவாசநிலை,Biology,உயிரியல்
aerobic respiration,காற்று சுவாசம்,Biology,உயிரியல்
aerophagia,காற்றை விழுங்கல்,Biology,உயிரியல்
aerosol spray,கரைசல் தெளித்தல்,Biology,உயிரியல்
aesthenopia,கண்சோர்வு,Biology,உயிரியல்
aesthetic value,அழகியல் மதிப்பு,Biology,உயிரியல்
aestivation,"கோடை ஒடுக்கம், பூ இதழமைவு",Biology,உயிரியல்
aethalia,கூட்டு ஸ்போரகமெத்தை,Biology,உயிரியல்
afferent,உட்செல் நுழை,Biology,உயிரியல்
afferent,கடத்தி,Biology,உயிரியல்
afferent arota,கடத்துத் தமனி,Biology,உயிரியல்
afferent branchial vessel,செவுள் நுழை குழாய்,Biology,உயிரியல்
afferent glomerular artery,வலைப்பின்னல் நுழை தமனி,Biology,உயிரியல்
afferent nerve,கடத்து நரம்பு,Biology,உயிரியல்
afferent sensory neurons,உட்கடத்து உணர் நரம்பணுக்கள்,Biology,உயிரியல்
affinity,நாட்டம்,Biology,உயிரியல்
affinity chromatography,ஈர்ப்பு - வண்ணப்படிவப் பிரிகை,Biology,உயிரியல்
affinity labeling,ஈர்ப்புக் குறியிடுதல்,Biology,உயிரியல்
aflatoxin,பூசணநச்சு,Biology,உயிரியல்
aflatoxin food poisoning,உணவு பூசண நச்சாதல்,Biology,உயிரியல்
aflatoxins food spoilage,பூசண நச்சால் உணவுகெடுதல்,Biology,உயிரியல்
aflatoxins food-borne intoxication,பூசணம் பிடித்த உணவால் மயக்கம்,Biology,உயிரியல்
african sleeping sickness,ஆப்பிரிக்க உறக்க நோய்,Biology,உயிரியல்
after shalft,பின்கொத்து இழைகள்,Biology,உயிரியல்
agamospermy,கருவுறா விதை,Biology,உயிரியல்
agar,"அகார், கடற்பாசிக்கூழ்மம்",Biology,உயிரியல்
agarose gel electrophoresis,அக்ரோஸ் கூழ்ம மின்னணுப் பகுப்பு,Biology,உயிரியல்
age profiles,வயதுவகை விவரம்,Biology,உயிரியல்
age structures,"யுக அமைவு, வயதுக்கட்டமைவு",Biology,உயிரியல்
agenda,செய் பணி நிரல்,Biology,உயிரியல்
agenesis,"குறைபிறவி, ஊனப்பிறவி",Biology,உயிரியல்
ageotropic growth,புவிஈர்ப்பு விலக்கு வளர்ச்சி,Biology,உயிரியல்
agglutinated shell,ஒட்டி உண்டாகும் ஓடு,Biology,உயிரியல்
agglutinated tube,"வேற்றுப்பொருள் சேர்ந்த குழல், ஒட்டி உண்டாகிய குழல்",Biology,உயிரியல்
agglutination,"கட்டியாதல், செல்திரளல்",Biology,உயிரியல்
agglutinins,"கட்டியாதல், செல்திரட்சி",Biology,உயிரியல்
aggregate fruit,ஒற்றைப் பூத்திரள் கனி,Biology,உயிரியல்
aggregation,"ஒருங்கிணைதல், கூட்டமாதல்",Biology,உயிரியல்
aggregation hormone,இனக்கவர்ச்சி இயக்குநீர்,Biology,உயிரியல்
aging,மூப்பு,Biology,உயிரியல்
aglossia,நாவின்மை,Biology,உயிரியல்
agnail,நகச்சுற்று,Biology,உயிரியல்
agriculture,"வேளாண்மை, உழவுத்தொழில்",Biology,உயிரியல்
agriculture revolution,வேளாண்புரட்சி,Biology,உயிரியல்
agrology,வேளாண் மண்ணியல்,Biology,உயிரியல்
agronomy,உழவியல்,Biology,உயிரியல்
agrostology,புல்வகைக் கல்வி,Biology,உயிரியல்
agrosulocyte,"குறுமணிகளற்ற உயிரணு, செல்",Biology,உயிரியல்
air bladder,காற்றுப்பை,Biology,உயிரியல்
air chamber,காற்றறை,Biology,உயிரியல்
air pollution,காற்று மாசுறுதல்,Biology,உயிரியல்
air pollution control act (1955),காற்று மாசுக் கட்டுப்பாட்டுச் சட்டம் (1955),Biology,உயிரியல்
air pore,காற்றுத்துளை,Biology,உயிரியல்
air quality act (1967),காற்றுத் தரச்சட்டம் (1967),Biology,உயிரியல்
air quality standard,காற்றுத் தர அளவு,Biology,உயிரியல்
air sacs,காற்றுப்பை,Biology,உயிரியல்
air space,காற்று இடைவெளி,Biology,உயிரியல்
air-borne allergen,காற்றுவழிப்பரவும் ஒவ்வாக்காரணி,Biology,உயிரியல்
air-borne disease,காற்றுவழிப்பரவும் நோய்,Biology,உயிரியல்
air-borne toxics,"காற்றுவழிப்பரவும் நச்சு, வளிமண்டல நச்சு",Biology,உயிரியல்
airway hyperresponsiveness,வான்வழி அதிமிகு பிரதிபலிப்பு,Biology,உயிரியல்
akinate,உணவுடைய தடித்த செல்,Biology,உயிரியல்
alar pseudofossulae,சிறகு இடைப்போலிச் சுவர்,Biology,உயிரியல்
alar septa,சிறகுபோன்ற இடைப்போலிச் சுவர்,Biology,உயிரியல்
alar spuria,பொய்யிறகு,Biology,உயிரியல்
albatross,அண்டரண்டப் பறவை,Biology,உயிரியல்
albino,வெளிறிய,Biology,உயிரியல்
albino plants,வெளிறியத் தாவரங்கள்,Biology,உயிரியல்
albirusion,நிறமின்மை,Biology,உயிரியல்
albumen,வெண்கரு உணவு,Biology,உயிரியல்
albumen gland,வெண்கரு உணவுச்சுரப்பி,Biology,உயிரியல்
albumen sac,வெண்கரு உணவுப்பை,Biology,உயிரியல்
albuminous seed,கரு ஊன் விதை,Biology,உயிரியல்
alburnum,வெண்கட்டை,Biology,உயிரியல்
alcohol,சாராயம்,Biology,உயிரியல்
alcohol fermentation,ஆல்கஹால் நொதித்தல்,Biology,உயிரியல்
alcohol permeability,ஆல்கஹால் பொசிமை,Biology,உயிரியல்
alcoholic beverage,ஆல்கஹால் பானம்,Biology,உயிரியல்
alcoholism,குடிப்பழக்கம்,Biology,உயிரியல்
aldolase,ஆல்டோலேஸ்,Biology,உயிரியல்
aldosterone,அண்ணீரகச்சுரப்பி இயக்குநீர்,Biology,உயிரியல்
alecithal eggs,எலெசிதல் முட்டைகள்,Biology,உயிரியல்
aleppo galls,அலப்போ பித்தநீர்,Biology,உயிரியல்
aleurone,ஆல்யூரான்,Biology,உயிரியல்
aleurone grains,ஆல்யூரான் விதைத் துகள்கள்,Biology,உயிரியல்
aleurone tissue,ஆல்யூரான் திசு,Biology,உயிரியல்
alga,பாசி,Biology,உயிரியல்
algal bed,பாசிப்படுகை,Biology,உயிரியல்
algal bloom,பாசிப்பெருக்கம்,Biology,உயிரியல்
algal eutrophication,பாசியால் நீர் மாசாதல்,Biology,உயிரியல்
algin,ஆல்ஜின்,Biology,உயிரியல்
algivorous,பாசியுண்ணும்,Biology,உயிரியல்
alienist,மனநோய் மருத்துவர்,Biology,உயிரியல்
aliferous,இறகுடைய,Biology,உயிரியல்
aliform confluent,இணைந்த இறக்கைவடிவ,Biology,உயிரியல்
aliform parenchyma,இறக்கைவடிவப் பாரன்கைமா,Biology,உயிரியல்
alimentary canal,உணவுப்பாதை,Biology,உயிரியல்
alimentary tract,உணவுப்பாதை,Biology,உயிரியல்
alimentary tract bacterial diseases,உணவுப்பாதை நுண்ம நோய்கள்,Biology,உயிரியல்
alimentary tract diseases,உணவுப்பாதை நோய்கள்,Biology,உயிரியல்
alimentary tract fungal diseases,உணவுப்பாதை பூசணநோய்,Biology,உயிரியல்
alimentotherapy,உணவுக் கட்டுப்பாட்டுச் சிகிச்சை,Biology,உயிரியல்
alkali soil,காரமண்,Biology,உயிரியல்
alkaline,காரத்தன்மையுடைய,Biology,உயிரியல்
alkaline phosphatase,காரப் பாஸ்பட்டேஸ்,Biology,உயிரியல்
alkalinity,காரத்தன்மை,Biology,உயிரியல்
allantoic acid,ஆலண்டாயிக் அமிலம்,Biology,உயிரியல்
allantoic artery,கருக்கழிவுறுப்புத் தமனி,Biology,உயிரியல்
allantoic blood,கருக்கழிவுக் குருதி,Biology,உயிரியல்
allantoic fluid,கருக்கழிவு நீர்மம்,Biology,உயிரியல்
allantoic stock,கருக்கழிவுறுப்புக் காம்பு,Biology,உயிரியல்
allantoic vein,கருக்கழிவுறுப்புச் சிரை,Biology,உயிரியல்
allantois,கருக்கழிவுப் படலம்,Biology,உயிரியல்
allele,இணைமரபணு,Biology,உயிரியல்
allelomorph,இணைமரபணு,Biology,உயிரியல்
allenuation,நோய்உண்டாக்கும் திறனற்ற,Biology,உயிரியல்
allergen,ஒவ்வாமை ஊக்கி,Biology,உயிரியல்
allergenic food,ஒவ்வா உணவு,Biology,உயிரியல்
allergic disease,ஒவ்வாமை நோய்,Biology,உயிரியல்
allergic rhinitis,ஒவ்வாமை நாசி அழற்சி,Biology,உயிரியல்
allergic shock,ஒவ்வாமை அதிர்ச்சி,Biology,உயிரியல்
allergy,ஒவ்வாமை,Biology,உயிரியல்
alloantigen recognition,பிற எதிர்தூண்டி தெரிதல்,Biology,உயிரியல்
allogamy,அயல் மகரந்தச்சேர்க்கை,Biology,உயிரியல்
allograft,அயல் ஒட்டுறுப்பு,Biology,உயிரியல்
alloimmune haematological disease,அயல் இரத்த எதிர்ப்புநோய்,Biology,உயிரியல்
allopath,எதிர்வினை மருத்துவர்,Biology,உயிரியல்
allopathy,எதிர்வினை மருத்துவம்,Biology,உயிரியல்
allopatric speciation,மாற்றுவழிச் சிற்றினத்தோற்றம்,Biology,உயிரியல்
allopolyploid,வேற்றுப் பன்மயங்கள்,Biology,உயிரியல்
allosome,பால்சார் மரபுத்திரி,Biology,உயிரியல்
allosteric effectors,மாற்றுத்தூண்டு வினைகள்,Biology,உயிரியல்
allosteric enzymes,மாற்றுத்தூண்டு நொதிகள்,Biology,உயிரியல்
allosteric inhibition,மாற்றுத்தூண்டுத் தடுப்பி,Biology,உயிரியல்
allosteric proteins,மாற்றுத்தூண்டுப் புரதங்கள்,Biology,உயிரியல்
allosteric repressors,மாற்றுத்தூண்டு ஒடுக்கிகள்,Biology,உயிரியல்
allotetraploidy,வேற்று நான்மயம்,Biology,உயிரியல்
allotyle,வெவ்வேறு வகை,Biology,உயிரியல்
alluvial,வண்டல்,Biology,உயிரியல்
alluvial fan,வண்டல் விரிதுறை,Biology,உயிரியல்
alluvial terrace,வண்டல் திட்டு,Biology,உயிரியல்
almond,வாதுமை,Biology,உயிரியல்
alpha helix,ஆல்பா சுருளை,Biology,உயிரியல்
alpha particles,ஆல்பாத் துகள்கள்,Biology,உயிரியல்
alpha ring-form,ஆல்பா வலய உருவம்,Biology,உயிரியல்
alpha sugar,ஆல்பா சர்க்கரை,Biology,உயிரியல்
alpha taxonomy,ஆல்பா வகைப்பாட்டியல்,Biology,உயிரியல்
alpha-linkage,ஆல்பா இணைப்பு,Biology,உயிரியல்
alpine vegetation,பனிமண்டலத் தாவரங்கள்,Biology,உயிரியல்
alteration,மாற்றம்,Biology,உயிரியல்
alternate energy sources,மாற்று ஆற்றல் வளங்கள்,Biology,உயிரியல்
alternate host,மாற்று ஓம்புயிரி,Biology,உயிரியல்
alternate leaf,மாற்றிலை,Biology,உயிரியல்
alternate pitting,மாற்றுக்குழி அமைவு,Biology,உயிரியல்
alternate radii,மாற்று ஆரங்கள்,Biology,உயிரியல்
alternation of generations,தலைமுறை மாற்றம்,Biology,உயிரியல்
alternative name,மாற்றுப்பெயர்,Biology,உயிரியல்
alternative splicing,மாற்று மூலக்கூறு ஒட்டுதல்,Biology,உயிரியல்
alveolar,நுண்குழிகளையுடைய,Biology,உயிரியல்
alveolar duct,காற்றுப்பை நாளம்,Biology,உயிரியல்
alveolar teeth,நுண்குழிவுற்ற பற்கள்,Biology,உயிரியல்
alveolus,நுண்காற்றறை,Biology,உயிரியல்
amber,பிசின்,Biology,உயிரியல்
ambulacral groove,நீரோட்டமண்டல நீள்பள்ளம்,Biology,உயிரியல்
ambylopia,பார்வைக் குறைபாடு,Biology,உயிரியல்
amensalism,ஓரின அழிவுக்கூட்டணி,Biology,உயிரியல்
amentiferous,தொங்குமஞ்சரி,Biology,உயிரியல்
amide bond,அமைடு பிணைப்பு,Biology,உயிரியல்
amino acid,அமினோஅமிலம்,Biology,உயிரியல்
amino acid degradation,அமினோஅமிலச் சிதைவு,Biology,உயிரியல்
amino acid sequence,அமினோஅமில வரிசை,Biology,உயிரியல்
amino group,அமினோ குழு,Biology,உயிரியல்
amitosis,ஒழுங்கினச் செல்பிரிவு,Biology,உயிரியல்
amla,நெல்லி,Biology,உயிரியல்
ammonification,அம்மோனியா சேர்க்கை,Biology,உயிரியல்
amniota,பனிக்குடமுடையது,Biology,உயிரியல்
amniotic fluid,பனிக்குடநீர்,Biology,உயிரியல்
amoebic dysentery,அமீபிக் பேதி,Biology,உயிரியல்
amoebicide,அமீபாக்கொல்லி,Biology,உயிரியல்
amoebiosis,அமீபிக் சீதபேதி,Biology,உயிரியல்
amoebocytes,அமீபா கணங்கள்,Biology,உயிரியல்
amoeboid,அமீபாபோன்ற,Biology,உயிரியல்
amoeboid cell,அமீபிய உயிரணு,Biology,உயிரியல்
amoeboid leucocyte,அமீப வெள்ளைஉயிரணு,Biology,உயிரியல்
amoeboid movement,அமீப இயக்கம்,Biology,உயிரியல்
amphi neura,இரட்டை நரம்பிகள்,Biology,உயிரியல்
amphibia,இருவாழ்விகள்,Biology,உயிரியல்
amphibian,"இருவாழ்வி, நீர் - நிலம் வாழ்வி",Biology,உயிரியல்
amphibious,நீர் - நிலம் வாழ்,Biology,உயிரியல்
amphicribal,நீர் கடத்துத்திசு சூழ்ந்த,Biology,உயிரியல்
amphidiploid hybrid,தன்னிருமயக் கலப்பினம்,Biology,உயிரியல்
amphimixis,இருகலப்பு,Biology,உயிரியல்
amphiphloeic,இருபுறம் பட்டயம் சூழ்ந்த,Biology,உயிரியல்
amphiplexus,தழுவுதல்,Biology,உயிரியல்
amphitropous,இருமுனைக் கசையிழை வகை,Biology,உயிரியல்
amphivasal,பட்டயம் சூழ்ந்த,Biology,உயிரியல்
amphoteric,இருநிலைத்தன்மை,Biology,உயிரியல்
amphoteric compounds,இருநிலைச் சேர்மங்கள்,Biology,உயிரியல்
amplexical,கணு சூழ்ந்த,Biology,உயிரியல்
amplification capacity,பெருகுத்திறன்,Biology,உயிரியல்
amplification of cdna ends,சி டி என் ஏ முனைப்பெருக்கம்,Biology,உயிரியல்
ampulla,காதுக் குழாயறை,Biology,உயிரியல்
ampulla,பிதுக்கப்பை,Biology,உயிரியல்
amyelinated nerve fibre,மயலினற்ற நரம்பிழை,Biology,உயிரியல்
amylose,அமைலோஸ்,Biology,உயிரியல்
anabas,பனையேறிக் கெண்டைமீன்,Biology,உயிரியல்
anabolism,வளர்மாற்றம்,Biology,உயிரியல்
anaemia,இரத்தசோகை,Biology,உயிரியல்
anaerobes,வளிவேண்டா உயிரிகள்,Biology,உயிரியல்
anaerobic metabolism,வளிவேண்டா வளர்சிதை மாற்றம்,Biology,உயிரியல்
